"","Article.ID","Statement.ID","Stat.ID","Journal.ID","Reference","Link","Type.of.statistics","t","N1","N2","p","Page.number","Associated.statistics","Negative.statement","Category"
"1",1,1,1,1,"Ambron, E., & Foroni, F. (2015). The attraction of emotions: Irrelevant emotional information modulates motor actions. Psychonomic Bulletin & Review, 22(4), 11171123.","http://link.springer.com/article/10.3758/s13423-014-0779-y","One Sample T-Test","0.22",27,NA,"0.41","1120","The analysis confirmed that participants’ reaching paths veered significantly toward the distractor when this stimulus displayed emotional content [happy faces, t(26) =3.3, p < .005; angry faces, t(26) =2.1, p < .05], whereas the paths did not do so when the distractor displayed neutral expressions [noisy-neutral expression, t(26) =0.22, n.s.; neutral expression, t(26) =0.15, n.s.].","The results showed that reaching paths veered toward faces with emotional expressions, in particular happiness, but not toward neutral expressions. ; This reinforces the view of emotions as attention-capturing stimuli that are, however, also potential sources of distraction for motor actions.","Incorrect-frequentist  whole population"
"2",1,1,2,1,"Ambron, E., & Foroni, F. (2015). The attraction of emotions: Irrelevant emotional information modulates motor actions. Psychonomic Bulletin & Review, 22(4), 11171123.","http://link.springer.com/article/10.3758/s13423-014-0779-y","One Sample T-Test","0.15",27,NA,"0.44","1120","The analysis confirmed that participants’ reaching paths veered significantly toward the distractor when this stimulus displayed emotional content [happy faces, t(26) =3.3, p < .005; angry faces, t(26) =2.1, p < .05], whereas the paths did not do so when the distractor displayed neutral expressions [noisy-neutral expression, t(26) =0.22, n.s.; neutral expression, t(26) =0.15, n.s.].","The results showed that reaching paths veered toward faces with emotional expressions, in particular happiness, but not toward neutral expressions. ; This reinforces the view of emotions as attention-capturing stimuli that are, however, also potential sources of distraction for motor actions.","Incorrect-frequentist  whole population"
"3",2,1,1,1,"Anderson, B. A. (2015). Value-driven attentional priority is context specific. Psychonomic Bulletin & Review, 22(3), 750756.","http://link.springer.com/article/10.3758/s13423-014-0724-0","Planned Comparision T-Test",NA,NA,NA,"0.643","754","By contrast, a distractor had no influence on RTs when it appeared in the context within which it had never been rewarded, relative to distractor-absent trials, t(29) = 0.47, p = .643.","The results show that the same stimulus feature either does or does not capture attention, depending on whether it has been rewarded specifically in the context within which it appears.","Incorrect-frequentist  whole population"
"4",3,1,1,2,"Atir, S., Rosenzweig, E., & Dunning, D. (2015). When Knowledge Knows No Bounds: Self-Perceived Expertise Predicts Claims of Impossible Knowledge. Psychological Science, 26(8), 12951303. http://doi.org/10.1177/0956797615588195
","http://pss.sagepub.com/content/26/8/1295.abstract","T-Test for slopes",NA,NA,NA,NA,"6","Moreover, the effect of self-perceived knowledge did not interact with the warning condition, b = 0.005, t(260.89) = -0.52.","In Study 3, warning participants that some of the concepts they saw were fictitious did not reduce the relationship between self-perceived knowledge and overclaiming, which suggests that this relationship is not driven by impression management.","Incorrect-frequentist  whole population"
"5",4,1,1,1,"Aue, W. R., Criss, A. H., & Prince, M. A. (2015). Dynamic memory searches: Selective output interference for the memory of facts. Psychon Bulletin & Review, 22(6), 17981806. doi:10.3758/s13423-015-0840-5","http://link.springer.com/article/10.3758/s13423-015-0840-5","Bayesian analysis",NA,NA,NA,NA,NA,"Moreover, a zero value for slope is 4.2 times more likely for Test 1 than the alternative (BF01 = 4.21).","No OI (output interference) was observed during the first test, when participants presumably searched semantic memory to answer the general-knowledge questions.","Bayesian-analysis"
"6",5,1,1,1,"Augustinova, M., Silvert, L., Ferrand, L., Llorca, P. M., & Flaudias, V. (2014). Behavioral and electrophysiological investigation of semantic and response conflict in the Stroop task. Psychonomic Bulletin & Review, 22(2), 543549. https://doi.org/10.3758/s13423-014-0697-z
","http://link.springer.com/article/10.3758/s13423-014-0697-z","ANOVA",NA,NA,NA,NA,"545","Indeed, the simple main effect of coloring was significant only for standard-incongruent trials,F(1, 27) = 15.40, p = .001, <U+03B7>p2 = .36, but not for color-associated or color-neutral trials, both Fs < 0.22, p > .65, n.s.","Consistent with our past findings (e.g., Augustinova et al. in Psychonomic Bulletin & Review 17:827-833, 2010), SLC speeded up reaction times for standard-incongruent items only, indicating that SLC reduced the response conflict that these (but not color-associated and neutral) items involve.","Incorrect-frequentist  current sample"
"7",6,1,1,2,"Barker, J. E., & Munakata, Y. (2015). Time Isn’t of the Essence: Activating Goals Rather Than Imposing Delays Improves Inhibitory Control in Children. Psychological Science, 26(12), 18981908. http://doi.org/10.1177/0956797615604625","http://pss.sagepub.com/content/26/12/1898.abstract","Generalised Linear Mixed Model",NA,NA,NA,NA,"1904","In contrast to claims based on prior work, delays did not benefit response inhibition independently of task reminders. Children in the delay conditions performed no better than children in the no-delay conditions (p > .250)","Task reminders, but not adult-imposed delays, improved children’s response inhibition.","Incorrect-frequentist  current sample"
"8",7,1,1,3,"Basile, B. M., Schroeder, G. R., Brown, E. K., Templer, V. L., & Hampton, R. R. (2015). Evaluation of seven hypotheses for metamemory performance in rhesus monkeys. Journal of Experimental Psychology: General, 144(1), 85102. https://doi.org/10.1037/xge0000031
","http://psycnet.apa.org/journals/xge/144/1/85/","Post-hoc correlation",NA,NA,NA,"0.341","92","This was supported by our post hoc correlational analysis, which found that the change in choice to see the answer did not correlate with the change in accuracy, r(9)=.317, p=.341. Regardless, the fact that monkeys chose to see the answer more often when necessary suggests that they were not responding by rote.","We found no evidence to support the hypotheses of behavioral cue association, rote response learning, expectancy violation, response competition, generalized search strategy, or postural mediation. In contrast, we repeatedly found evidence to support the memory monitoring hypothesis","Correct-frequentist"
"9",8,1,1,1,"Beesley, T., Pearson, D., & Le Pelley, M. (2015). Implicit learning of gaze-contingent events. Psychonomic Bulletin & Review, 22(3), 800807.","http://link.springer.com/article/10.3758/s13423-014-0720-4","Independent Samples T-Test",NA,27,13,NA,"804","This mismatch cuing score (aware = 32 ms; unaware = 40 ms) did not differ between the two groups, t < 1.","Furthermore, there was no difference in the cuing score between those participants classified as aware or unaware of the contingencies on a subsequent forced-choice recognition task.","Incorrect-frequentist  current sample"
"10",9,1,1,2,"Benozio, A., & Diesendruck, G. (2015). From Effort to Value: Preschool Children’s Alternative to Effort Justification. Psychological Science, 26(9), 14231429. http://doi.org/10.1177/0956797615589585
","http://pss.sagepub.com/content/26/9/1423.abstract","Planned Comparision T-Test",NA,NA,NA,NA,"1426","Follow-up analyses on these two-way interactions revealed that when 4-year-olds distributed attractive stickers, effort did not affect their distribution rates (M = 20%, SD = 16.3%; M = 19.1%, SD = 10.8%, for the effortful and effortless conditions, respectively), but effort did affect 6-year-olds distribution rates, t(51) = 3.1, p = .001 (one-tailed), Cohen’s d = 0.87. As can be seen in Figure1a, 6-year-olds distributed 54% fewer stickers in the effortful condition (M = 9.6%, SD = 12.1%) than in the effortless condition (M = 20.7%, SD = 13.9%).
","Investing great effort to obtain attractive rewards (a consonant situation) led 6-year-olds, but not 4-year-olds, to enhance the value of the rewards and thus distribute fewer of them to others.","Incorrect-frequentist  current sample"
"11",10,1,1,1,"Ben-Shalom, A., & Ganel, T. (2014). Spatial resolution in visual memory. Psychonomic Bulletin & Review, 22(2), 500508. https://doi.org/10.3758/s13423-014-0707-1
","http://link.springer.com/article/10.3758/s13423-014-0707-1","ANOVA",NA,NA,NA,"0.226","503","However, unlike as in Experiment 1, JNDs did not differ between the short- and the long-delay conditions, and the main effect of delay period was not significant, F(1, 9) = 0.226.","When different objects were referred to, similar spatial resolution was found for the two delay periods, suggesting that initial processing stages are sensitive to object-based properties. Conversely, superior resolution was found for the short, as compared with the long, delay when features were referred to.","Incorrect-frequentist  whole population"
"12",11,1,1,2,"Biggs, A. T., Cain, M. S., & Mitroff, S. R. (2015). Cognitive Training Can Reduce Civilian Casualties in a Simulated Shooting Environment. Psychological Science, 26(8), 11641176. http://doi.org/10.1177/0956797615579274
","http://pss.sagepub.com/content/26/8/1164.abstract","Correlation",NA,NA,NA,"0.27","9","Two self-report scales were significantly related to the number of simulated civilian casualties at baseline: More simulated civilian casualties were related to higher ADHD scores, r(84) = .21, p < .05, and greater attentional impulsivity, r(82) = .24, p < .05. Simulated civilian casualties were not related to self-reported motor impulsivity, r(83) = .12, p = .27, nor the total number of shots fired in the simulated shooting task—a behavioral measure of motor impulsivity, r(86) = .08, p = .44.","Individual-difference measures demonstrated, perhaps counterintuitively, that simulated civilian casualties were not related to motor impulsivity (i.e., an itchy trigger finger) but rather to an individual’s cognitive ability to withhold an already initiated response (i.e., an itchy brain).
","Incorrect-frequentist  current sample"
"13",12,1,1,2,"Bodenmann, G., Meuwly, N., Germann, J., Nussbeck, F. W., Heinrichs, M., & Bradbury, T. N. (2015). Effects of Stress on the Social Support Provided by Men and Women in Intimate Relationships. Psychological Science, 26(10), 15841594. http://doi.org/10.1177/0956797615594616
","http://pss.sagepub.com/content/26/10/1584.abstract","Post-hoc T-Test",NA,NA,NA,"0.06","1590","http://pss.sagepub.com/content/26/10/1584/T2.large.jpg","While unstressed, men and women generally provided similar support to the stressed partner.","Incorrect-frequentist  current sample"
"14",13,1,1,1,"Borst, G., Ahr, E., Roell, M., & Houdé, O. (2014). The cost of blocking the mirror generalization process in reading: evidence for the role of inhibitory control in discriminating letters with lateral mirror-image counterparts. Psychonomic Bulletin & Review, 22(1), 228234. https://doi.org/10.3758/s13423-014-0663-9
","http://link.springer.com/article/10.3758/s13423-014-0663-9","Paired Samples T-Test",NA,24,NA,NA,"232","For the building group, the time required and the accuracy for determining that two buildings facing opposite direction were similar did not differ with respect to the prime: ts < 1.","In Experiment 1, participants required more time when determining that two animals (but not two buildings) were mirror images of each other when preceded by letters with mirror-image counterparts than without mirror-image counterparts (‘a/h’).","Incorrect-frequentist  current sample"
"15",13,2,1,1,"Borst, G., Ahr, E., Roell, M., & Houdé, O. (2014). The cost of blocking the mirror generalization process in reading: evidence for the role of inhibitory control in discriminating letters with lateral mirror-image counterparts. Psychonomic Bulletin & Review, 22(1), 228234. https://doi.org/10.3758/s13423-014-0663-9
","http://link.springer.com/article/10.3758/s13423-014-0663-9","Paired Samples T-Test","1.21",31,NA,"0.24","232","A 2 (type of letters prime: with vs. without mirror-image counterparts) × 2 (type of probe stimuli: animal vs. building) repeated measure ANOVA on the RTs revealed a significant two-way interaction between the type of letters presented on the prime and the type of probe stimuli: F(1, 30) = 7.99, p < 0.01, <U+03B7>p2 = 0.21, with longer RTs on the probe preceded by letters with mirror-image counterparts (e.g., ‘b/d’) than on the probes preceded by letters with no mirror-image counterparts (e.g., ‘f/t’) when animals were displayed on the probes, t(30) = 2.62, p < 0.01, d = 0.47, but not when buildings were presented on the probes, t(30) = 1.21, p = 0.24 (Table 2).","In Experiment 2, we replicated the results with different letters without mirror-image counterparts and with the type of probe stimuli (animal or building) manipulated as a within-subject factors.","Incorrect-frequentist  current sample"
"16",14,1,1,1,"Camos, V., & Portrat, S. (2015). The impact of cognitive load on delayed recall. Psychonomic Bulletin & Review, 22(4), 10291034.","http://link.springer.com/article/10.3758/s13423-014-0772-5","Bayesian analysis",NA,NA,NA,NA,NA,NA,"Conversely, the addition of concurrent articulation reduced immediate but not delayed recall. This study shows that both working and episodic memory traces depend on the cognitive load of the concurrent task, whereas the use of rehearsal affects only working memory performance.","Incorrect-frequentist  whole population"
